Image_ID,Body_Shape,Shoulder_cm,Waist_cm,Hip_cm,Hip_Waist_Ratio,Colour_Palette,Garment_Type,Garment_Colour,Sleeve,Neckline,Pattern,Fabric,Occasion,Recommendation,Height_cm
IMG_072,Inverted Triangle,44,37,41,1.11,Warm,Shirt,Brown,Half,V-Neck,Floral,Wool,Formal,V-Neck Top,177.3
IMG_073,Inverted Triangle,44,35,39,1.11,Neutral,Trousers,Green,-,-,Floral,Wool,Traditional,V-Neck Top,164.7
IMG_074,Rectangle,39,37,41,1.11,Cool,Dress,Red,Sleeveless,High Neck,Striped,Linen,Casual,Layered Outfit,177.5
IMG_075,Inverted Triangle,37,29,45,1.55,Neutral,Sweater,Red,Full,Square,Checked,Cotton,Formal,V-Neck Top,145.0
IMG_076,Rectangle,37,31,36,1.16,Neutral,Kurti,Black,Short,Collar,Solid,Cotton,Traditional,Belted Dress,171.6
IMG_077,Inverted Triangle,45,28,44,1.57,Warm,Sweater,White,Half,Boat,Floral,Silk,Party,Wide-Leg Trousers,165.7
IMG_078,Inverted Triangle,34,30,47,1.57,Warm,Skirt,White,-,-,Floral,Cotton,Traditional,A-Line Skirt,162.6
IMG_079,Apple,36,28,46,1.64,Warm,Dress,Red,Sleeveless,Square,Floral,Polyester,Traditional,Empire-Waist Dress,165.7
IMG_080,Inverted Triangle,46,34,40,1.18,Cool,Jeans,Grey,-,-,Printed,Silk,Party,A-Line Skirt,149.1
IMG_081,Pear,43,37,35,0.95,Warm,Jeans,Yellow,-,-,Polka Dot,Cotton,Formal,Structured Top,163.2
IMG_082,Pear,36,34,35,1.03,Cool,Jacket,Black,Full,Boat,Checked,Cotton,Formal,Boat-Neck Top,167.9
IMG_083,Inverted Triangle,45,30,45,1.5,Neutral,Dress,White,Half,Sweetheart,Polka Dot,Polyester,Formal,Flowy Dress,176.8
IMG_084,Pear,35,34,37,1.09,Cool,Blouse,Grey,Sleeveless,Round,Striped,Rayon,Party,Boat-Neck Top,160.9
IMG_085,Rectangle,41,27,41,1.52,Cool,Jeans,Beige,-,-,Printed,Polyester,College,Pleated Skirt,158.5
IMG_086,Inverted Triangle,35,35,34,0.97,Cool,Sweater,Beige,Half,Round,Solid,Denim,Traditional,A-Line Skirt,161.0
IMG_087,Rectangle,46,36,47,1.31,Warm,Blouse,Olive,3/4,Square,Polka Dot,Silk,Party,Layered Outfit,172.3
IMG_088,Inverted Triangle,43,32,44,1.38,Cool,Trousers,White,-,-,Floral,Linen,Party,A-Line Skirt,167.6
IMG_089,Inverted Triangle,47,28,39,1.39,Cool,Jeans,Beige,-,-,Polka Dot,Silk,Traditional,A-Line Skirt,160.8
IMG_090,Rectangle,41,27,39,1.44,Warm,Skirt,Maroon,-,-,Printed,Rayon,Casual,Pleated Skirt,169.1
IMG_091,Apple,40,26,37,1.42,Neutral,Jacket,Maroon,3/4,Sweetheart,Solid,Denim,Party,Empire-Waist Dress,165.8
IMG_092,Inverted Triangle,48,30,41,1.37,Warm,Sweater,White,Short,High Neck,Striped,Linen,Traditional,A-Line Skirt,172.7
IMG_093,Pear,42,32,35,1.09,Warm,Jacket,Lavender,Sleeveless,High Neck,Striped,Silk,Party,Boat-Neck Top,159.4
IMG_094,Inverted Triangle,40,39,41,1.05,Cool,Kurti,Sky Blue,Short,Boat,Striped,Polyester,Traditional,Wide-Leg Trousers,162.4
IMG_095,Inverted Triangle,47,27,38,1.41,Neutral,Jeans,Maroon,-,-,Solid,Linen,Party,Flowy Dress,161.9
IMG_096,Apple,47,28,41,1.46,Cool,Trousers,Peach,-,-,Printed,Rayon,Traditional,Longline Jacket,153.3
IMG_097,Pear,41,40,39,0.97,Warm,Sweater,Beige,3/4,V-Neck,Floral,Cotton,Party,Dark Bottom,167.4
IMG_098,Inverted Triangle,45,40,46,1.15,Neutral,Blouse,Pink,3/4,Round,Striped,Polyester,Traditional,V-Neck Top,167.1
IMG_099,Inverted Triangle,47,27,47,1.74,Neutral,Jacket,White,Sleeveless,High Neck,Striped,Silk,Formal,A-Line Skirt,165.0
IMG_100,Rectangle,41,38,38,1.0,Neutral,Skirt,Olive,-,-,Polka Dot,Cotton,Party,Pleated Skirt,163.1
IMG_101,Inverted Triangle,39,36,45,1.25,Neutral,T-Shirt,Lavender,Full,Round,Striped,Wool,Party,Wide-Leg Trousers,153.7
IMG_102,Hourglass,45,27,40,1.48,Neutral,Shirt,Brown,3/4,V-Neck,Polka Dot,Linen,Casual,Wrap Dress,161.6
IMG_103,Rectangle,39,38,34,0.89,Cool,Skirt,Maroon,-,-,Striped,Denim,Traditional,Pleated Skirt,162.3
IMG_104,Pear,43,36,46,1.28,Warm,Shirt,Navy Blue,Full,Sweetheart,Floral,Polyester,Formal,Dark Bottom,158.6
IMG_105,Pear,48,35,36,1.03,Neutral,Jeans,Peach,-,-,Floral,Linen,Casual,Dark Bottom,163.7
IMG_106,Apple,48,30,44,1.47,Warm,Jacket,Navy Blue,Half,Square,Checked,Wool,College,Straight-Leg Trousers,168.2
IMG_107,Pear,41,39,38,0.97,Cool,Shirt,Pink,Short,Boat,Printed,Linen,Traditional,Boat-Neck Top,180.1
IMG_108,Inverted Triangle,45,30,34,1.13,Warm,Sweater,Red,Sleeveless,Square,Polka Dot,Silk,Party,Wide-Leg Trousers,166.4
IMG_109,Pear,43,38,39,1.03,Warm,Sweater,Yellow,Half,High Neck,Polka Dot,Rayon,Formal,A-Line Dress,167.1
IMG_110,Hourglass,48,36,44,1.22,Cool,T-Shirt,Red,Full,Collar,Polka Dot,Denim,Casual,High-Waist Trousers,164.4
IMG_111,Pear,39,37,40,1.08,Warm,Kurti,Sky Blue,Half,Square,Printed,Linen,Formal,Boat-Neck Top,149.6
IMG_112,Rectangle,48,39,41,1.05,Cool,Shirt,Beige,3/4,Round,Striped,Rayon,Formal,Pleated Skirt,164.8
IMG_113,Rectangle,47,38,42,1.11,Cool,T-Shirt,White,Half,Square,Solid,Silk,Party,Belted Dress,165.5
IMG_114,Rectangle,43,32,47,1.47,Neutral,Dress,White,3/4,Round,Printed,Polyester,Party,Layered Outfit,184.7
IMG_115,Inverted Triangle,44,27,44,1.63,Neutral,Jeans,Grey,-,-,Polka Dot,Silk,Casual,Wide-Leg Trousers,163.5
IMG_116,Inverted Triangle,34,26,38,1.46,Warm,Dress,White,Full,V-Neck,Floral,Silk,Party,Flowy Dress,167.4
IMG_117,Pear,43,37,45,1.22,Cool,Shirt,Grey,3/4,Square,Floral,Linen,Casual,Boat-Neck Top,164.7
IMG_118,Pear,37,33,41,1.24,Cool,Shirt,Lavender,Half,Square,Polka Dot,Linen,Casual,Dark Bottom,155.7
IMG_119,Inverted Triangle,38,29,35,1.21,Neutral,Dress,White,Full,Round,Solid,Rayon,Party,Wide-Leg Trousers,174.1
IMG_120,Pear,36,38,43,1.13,Neutral,Dress,White,Full,V-Neck,Striped,Linen,Formal,A-Line Dress,171.0
IMG_121,Pear,38,39,36,0.92,Cool,Blouse,Green,Sleeveless,High Neck,Solid,Denim,Casual,Boat-Neck Top,171.3
IMG_122,Apple,46,38,37,0.97,Warm,Blouse,Maroon,Half,Round,Striped,Wool,College,V-Neck Outfit,157.7
IMG_123,Inverted Triangle,45,27,41,1.52,Cool,Kurti,Brown,Full,Round,Floral,Polyester,Formal,A-Line Skirt,176.2
IMG_124,Apple,45,38,48,1.26,Cool,T-Shirt,Red,Sleeveless,Boat,Floral,Silk,Casual,Longline Jacket,153.8
IMG_125,Hourglass,45,40,41,1.02,Warm,Trousers,Grey,-,-,Printed,Denim,Casual,Fitted Dress,169.7
IMG_126,Apple,38,35,44,1.26,Neutral,Trousers,Green,-,-,Floral,Polyester,Traditional,Straight-Leg Trousers,182.5
IMG_127,Inverted Triangle,41,34,43,1.26,Neutral,Shirt,White,Full,High Neck,Striped,Silk,College,Wide-Leg Trousers,157.1
IMG_128,Inverted Triangle,40,31,47,1.52,Cool,Shirt,Pink,Half,Boat,Checked,Wool,Party,V-Neck Top,160.5
IMG_129,Inverted Triangle,36,36,48,1.33,Warm,Shirt,White,Sleeveless,Boat,Solid,Wool,Party,Wide-Leg Trousers,165.8
IMG_130,Apple,42,26,43,1.65,Cool,Shirt,Green,3/4,Collar,Polka Dot,Rayon,College,V-Neck Outfit,161.0
IMG_131,Rectangle,38,35,38,1.09,Neutral,Kurti,White,Short,V-Neck,Polka Dot,Silk,Formal,Peplum Top,152.6
IMG_132,Rectangle,39,39,42,1.08,Cool,Sweater,White,Short,Sweetheart,Floral,Rayon,Traditional,Peplum Top,165.5
IMG_133,Rectangle,43,40,44,1.1,Warm,Jeans,Black,-,-,Polka Dot,Rayon,Party,Belted Dress,156.5
IMG_134,Pear,39,26,36,1.38,Neutral,Skirt,Olive,-,-,Solid,Denim,Casual,A-Line Dress,168.8
IMG_135,Inverted Triangle,45,34,37,1.09,Cool,Trousers,Pink,-,-,Striped,Linen,Party,V-Neck Top,157.6
IMG_136,Hourglass,46,35,43,1.23,Warm,Blouse,Grey,Short,Sweetheart,Printed,Cotton,Casual,High-Waist Trousers,177.4
IMG_137,Inverted Triangle,41,36,40,1.11,Cool,Skirt,Olive,-,-,Checked,Denim,Traditional,A-Line Skirt,158.7
IMG_138,Rectangle,39,32,35,1.09,Neutral,Sweater,Yellow,3/4,Square,Polka Dot,Linen,Casual,Layered Outfit,162.4
IMG_139,Hourglass,40,35,34,0.97,Cool,Dress,Sky Blue,Short,Sweetheart,Checked,Linen,Party,Wrap Dress,171.5
IMG_140,Inverted Triangle,34,33,45,1.36,Warm,Skirt,Navy Blue,-,-,Printed,Wool,Formal,V-Neck Top,155.2
IMG_141,Hourglass,35,32,47,1.47,Warm,Jacket,Pink,Sleeveless,Sweetheart,Checked,Polyester,College,Belted Outfit,166.8
IMG_142,Rectangle,45,36,40,1.11,Cool,T-Shirt,White,Half,V-Neck,Printed,Silk,Party,Peplum Top,175.5
IMG_143,Pear,40,39,35,0.9,Neutral,Skirt,Pink,-,-,Printed,Cotton,College,Boat-Neck Top,152.1
IMG_144,Rectangle,45,31,37,1.19,Warm,Shirt,Brown,Full,High Neck,Solid,Polyester,Traditional,Layered Outfit,166.5
IMG_145,Rectangle,48,38,39,1.03,Neutral,Blouse,Beige,Short,Round,Striped,Linen,Formal,Layered Outfit,167.1
IMG_146,Hourglass,43,28,46,1.64,Neutral,Jacket,Navy Blue,3/4,Sweetheart,Printed,Rayon,Traditional,Belted Outfit,171.3
IMG_147,Apple,44,40,48,1.2,Neutral,Sweater,Yellow,Half,Sweetheart,Polka Dot,Linen,Formal,Longline Jacket,155.1
IMG_148,Rectangle,35,33,41,1.24,Cool,Sweater,Brown,Sleeveless,Collar,Printed,Cotton,Party,Pleated Skirt,154.4
IMG_149,Rectangle,41,26,34,1.31,Cool,Shirt,Lavender,Sleeveless,Square,Printed,Polyester,College,Pleated Skirt,169.2
IMG_150,Hourglass,43,34,46,1.35,Neutral,Dress,Peach,Half,Square,Floral,Polyester,Formal,Wrap Dress,167.4
IMG_151,Rectangle,41,27,46,1.7,Warm,Kurti,Beige,Short,Round,Striped,Wool,College,Pleated Skirt,167.0
IMG_152,Pear,42,34,43,1.26,Cool,Jeans,Maroon,-,-,Floral,Silk,Party,A-Line Dress,167.8
IMG_153,Rectangle,46,36,44,1.22,Cool,Shirt,White,Full,High Neck,Floral,Linen,Party,Layered Outfit,159.6
IMG_154,Pear,39,27,43,1.59,Cool,Jeans,Grey,-,-,Polka Dot,Wool,College,Structured Top,166.9
IMG_155,Rectangle,43,37,35,0.95,Cool,Trousers,Green,-,-,Striped,Wool,Traditional,Peplum Top,167.3
IMG_156,Apple,44,36,40,1.11,Warm,Trousers,Maroon,-,-,Checked,Denim,Formal,Straight-Leg Trousers,159.3
IMG_157,Pear,46,33,37,1.12,Warm,Shirt,Navy Blue,Half,Sweetheart,Solid,Polyester,Traditional,A-Line Dress,179.9
IMG_158,Apple,44,31,48,1.55,Neutral,Skirt,Navy Blue,-,-,Striped,Denim,Formal,Empire-Waist Dress,168.8
IMG_159,Inverted Triangle,45,33,34,1.03,Neutral,Dress,Maroon,3/4,Square,Checked,Rayon,College,Wide-Leg Trousers,155.5
IMG_160,Inverted Triangle,42,29,38,1.31,Warm,Trousers,Grey,-,-,Polka Dot,Polyester,College,Flowy Dress,170.3
IMG_161,Inverted Triangle,46,30,46,1.53,Neutral,Skirt,Green,-,-,Striped,Rayon,Formal,Wide-Leg Trousers,157.2
IMG_162,Inverted Triangle,47,30,34,1.13,Cool,Kurti,Lavender,Sleeveless,High Neck,Printed,Rayon,Casual,V-Neck Top,171.3
IMG_163,Rectangle,35,38,36,0.95,Neutral,Blouse,Peach,3/4,Round,Striped,Rayon,College,Belted Dress,174.3
IMG_164,Hourglass,48,26,40,1.54,Neutral,Trousers,Pink,-,-,Striped,Silk,Casual,High-Waist Trousers,158.4
IMG_165,Hourglass,37,26,39,1.5,Neutral,Trousers,Lavender,-,-,Striped,Denim,Casual,High-Waist Trousers,172.7
IMG_166,Pear,48,39,41,1.05,Neutral,Jacket,Brown,3/4,Square,Solid,Cotton,Casual,Boat-Neck Top,168.3
IMG_167,Apple,37,39,36,0.92,Neutral,Kurti,Beige,3/4,Round,Checked,Denim,Party,V-Neck Outfit,171.6
IMG_168,Apple,34,29,40,1.38,Warm,Shirt,Peach,3/4,Square,Printed,Cotton,Traditional,Empire-Waist Dress,180.2
IMG_169,Inverted Triangle,45,28,38,1.36,Neutral,Trousers,Black,-,-,Striped,Polyester,College,Wide-Leg Trousers,163.0
IMG_170,Apple,44,36,35,0.97,Warm,Kurti,Maroon,Full,Square,Printed,Polyester,Casual,Longline Jacket,159.0
IMG_171,Inverted Triangle,47,33,34,1.03,Cool,T-Shirt,Maroon,Half,Sweetheart,Solid,Linen,Formal,A-Line Skirt,157.9
IMG_172,Rectangle,46,35,45,1.29,Warm,Trousers,Navy Blue,-,-,Printed,Linen,Formal,Pleated Skirt,158.5
IMG_173,Pear,45,33,44,1.33,Warm,Shirt,Brown,3/4,Round,Checked,Denim,Casual,Structured Top,164.4
IMG_174,Rectangle,48,26,39,1.5,Cool,Kurti,Green,3/4,Collar,Solid,Rayon,Formal,Belted Dress,167.7
IMG_175,Hourglass,39,39,46,1.18,Neutral,Trousers,Lavender,-,-,Checked,Cotton,Party,Belted Outfit,167.2
IMG_176,Inverted Triangle,48,32,45,1.41,Cool,Trousers,Grey,-,-,Striped,Silk,College,V-Neck Top,171.6
IMG_177,Rectangle,48,38,42,1.11,Warm,Skirt,Brown,-,-,Solid,Silk,Traditional,Layered Outfit,165.1
IMG_178,Hourglass,42,30,39,1.3,Cool,Jeans,White,-,-,Checked,Silk,Traditional,Belted Outfit,176.6
IMG_179,Rectangle,36,37,41,1.11,Warm,Trousers,Peach,-,-,Printed,Silk,Party,Peplum Top,162.9
IMG_180,Inverted Triangle,35,36,44,1.22,Neutral,Blouse,Maroon,Sleeveless,V-Neck,Printed,Wool,College,A-Line Skirt,186.8
IMG_181,Rectangle,36,27,37,1.37,Cool,Sweater,Maroon,Sleeveless,Square,Striped,Wool,College,Belted Dress,170.0
IMG_182,Hourglass,39,33,46,1.39,Warm,Kurti,Olive,Half,Boat,Checked,Wool,Party,Fitted Dress,158.1
IMG_183,Pear,35,26,45,1.73,Neutral,Skirt,Peach,-,-,Printed,Cotton,Party,Boat-Neck Top,156.4
IMG_184,Apple,45,33,37,1.12,Neutral,Jacket,Red,Short,Round,Striped,Rayon,Casual,Longline Jacket,168.9
IMG_185,Inverted Triangle,36,40,45,1.12,Neutral,Trousers,White,-,-,Polka Dot,Linen,Casual,V-Neck Top,163.2
IMG_186,Pear,48,30,47,1.57,Neutral,Blouse,Beige,Half,Square,Striped,Cotton,Formal,Structured Top,170.7
IMG_187,Hourglass,37,38,41,1.08,Neutral,Sweater,Maroon,Half,Boat,Printed,Denim,Traditional,Wrap Dress,168.8
IMG_188,Inverted Triangle,35,30,40,1.33,Cool,Skirt,Green,-,-,Printed,Cotton,Formal,V-Neck Top,164.4
IMG_189,Inverted Triangle,44,27,41,1.52,Neutral,Trousers,Yellow,-,-,Striped,Rayon,Traditional,Wide-Leg Trousers,158.2
IMG_190,Apple,46,28,40,1.43,Warm,Shirt,Grey,Full,V-Neck,Checked,Denim,Formal,Straight-Leg Trousers,152.9
IMG_191,Rectangle,48,37,37,1.0,Cool,Shirt,Green,Half,V-Neck,Polka Dot,Polyester,Party,Layered Outfit,161.4
IMG_192,Apple,44,30,43,1.43,Neutral,Blouse,White,Full,Square,Striped,Denim,Traditional,Straight-Leg Trousers,171.9
IMG_193,Hourglass,47,40,43,1.07,Warm,Shirt,Lavender,Sleeveless,High Neck,Printed,Linen,Formal,Belted Outfit,166.7
IMG_194,Inverted Triangle,43,36,34,0.94,Neutral,Kurti,Grey,Half,High Neck,Checked,Silk,Formal,Flowy Dress,155.0
IMG_195,Hourglass,38,33,35,1.06,Cool,Skirt,Navy Blue,-,-,Floral,Silk,Formal,High-Waist Trousers,166.4
IMG_196,Rectangle,43,28,39,1.39,Cool,Skirt,Beige,-,-,Striped,Rayon,Party,Peplum Top,168.1
IMG_197,Hourglass,39,29,41,1.41,Cool,Dress,Red,Short,Round,Solid,Linen,College,Belted Outfit,157.9
IMG_198,Pear,37,39,48,1.23,Cool,Sweater,Lavender,Half,V-Neck,Striped,Silk,Traditional,Dark Bottom,166.2
IMG_199,Inverted Triangle,41,40,38,0.95,Warm,Skirt,Black,-,-,Printed,Silk,Formal,Wide-Leg Trousers,165.5
IMG_200,Hourglass,43,31,34,1.1,Cool,Sweater,Red,3/4,Collar,Printed,Cotton,Casual,Belted Outfit,155.9
IMG_201,Rectangle,36,40,38,0.95,Cool,Trousers,Brown,-,-,Solid,Silk,Casual,Layered Outfit,167.9
IMG_202,Hourglass,39,34,38,1.12,Neutral,Jacket,Pink,Full,Collar,Printed,Wool,Traditional,Wrap Dress,169.5
