Image_ID,Body_Shape,Shoulder_cm,Waist_cm,Hip_cm,Hip_Waist_Ratio,Colour_Palette,Garment_Type,Garment_Colour,Sleeve,Neckline,Pattern,Fabric,Occasion,Recommendation
IMG_031,Rectangle,42,29,42,1.45,Cool,Shirt,Navy Blue,Short,Collar,Checked,Denim,College,Belted Dress
IMG_032,Apple,43,38,44,1.16,Neutral,Kurti,Black,Half,High Neck,Solid,Denim,Party,V-Neck Outfit
IMG_033,Apple,48,27,45,1.67,Cool,Jeans,Navy Blue,-,-,Printed,Denim,Party,Empire-Waist Dress
IMG_034,Rectangle,44,36,47,1.31,Cool,Jeans,Green,-,-,Solid,Cotton,College,Belted Dress
IMG_035,Pear,34,26,39,1.5,Cool,Blouse,Yellow,3/4,Square,Polka Dot,Silk,Traditional,A-Line Dress
IMG_036,Pear,35,27,48,1.78,Warm,Trousers,Green,-,-,Printed,Polyester,Formal,Dark Bottom
IMG_037,Rectangle,36,26,38,1.46,Warm,Trousers,Grey,-,-,Striped,Wool,Formal,Peplum Top
IMG_038,Inverted Triangle,39,38,42,1.11,Neutral,Blouse,Olive,Short,Sweetheart,Striped,Rayon,Formal,Flowy Dress
IMG_039,Rectangle,34,28,45,1.61,Cool,Dress,Brown,Half,V-Neck,Polka Dot,Cotton,College,Peplum Top
IMG_040,Pear,47,33,37,1.12,Cool,Trousers,Lavender,-,-,Checked,Rayon,Formal,Structured Top
IMG_041,Inverted Triangle,34,36,37,1.03,Cool,Shirt,Maroon,Half,Collar,Polka Dot,Polyester,College,V-Neck Top
IMG_042,Rectangle,34,27,48,1.78,Neutral,Jeans,Navy Blue,-,-,Solid,Cotton,Traditional,Pleated Skirt
IMG_043,Rectangle,39,37,46,1.24,Neutral,Kurti,Pink,Sleeveless,Boat,Printed,Denim,Party,Peplum Top
IMG_044,Apple,45,32,34,1.06,Neutral,Dress,Grey,Half,Boat,Solid,Wool,Party,Straight-Leg Trousers
IMG_045,Rectangle,44,39,35,0.9,Cool,Skirt,Green,-,-,Checked,Silk,Party,Layered Outfit
IMG_046,Inverted Triangle,37,32,44,1.38,Neutral,Blouse,Yellow,Full,Square,Checked,Silk,Traditional,A-Line Skirt
IMG_047,Inverted Triangle,38,30,37,1.23,Neutral,Sweater,Brown,Half,Boat,Floral,Silk,Formal,Flowy Dress
IMG_048,Pear,46,40,46,1.15,Warm,Jeans,Yellow,-,-,Printed,Wool,Traditional,Boat-Neck Top
IMG_049,Pear,35,39,46,1.18,Cool,Dress,Yellow,Short,V-Neck,Solid,Cotton,Formal,Dark Bottom
IMG_050,Hourglass,43,39,46,1.18,Cool,Sweater,Peach,Short,High Neck,Polka Dot,Silk,College,Belted Outfit
IMG_051,Hourglass,37,28,44,1.57,Warm,Skirt,Grey,-,-,Striped,Denim,Traditional,Belted Outfit
IMG_052,Hourglass,34,34,37,1.09,Warm,Jacket,Peach,Full,Square,Printed,Linen,College,Belted Outfit
IMG_053,Inverted Triangle,47,40,42,1.05,Warm,Jacket,Grey,3/4,Collar,Striped,Rayon,Party,Flowy Dress
IMG_054,Inverted Triangle,44,29,38,1.31,Neutral,Jeans,White,-,-,Striped,Linen,Party,V-Neck Top
IMG_055,Pear,48,34,35,1.03,Warm,Skirt,Navy Blue,-,-,Polka Dot,Denim,Formal,A-Line Dress
IMG_056,Apple,40,32,39,1.22,Cool,T-Shirt,Peach,Short,Sweetheart,Floral,Silk,Traditional,V-Neck Outfit
IMG_057,Apple,47,40,46,1.15,Cool,T-Shirt,Pink,Half,Collar,Floral,Rayon,College,Empire-Waist Dress
IMG_058,Inverted Triangle,41,29,38,1.31,Warm,Skirt,Peach,-,-,Checked,Wool,College,Wide-Leg Trousers
IMG_059,Pear,47,33,48,1.45,Neutral,T-Shirt,Olive,3/4,Square,Printed,Wool,Casual,A-Line Dress
IMG_060,Inverted Triangle,44,32,36,1.12,Warm,Jeans,Navy Blue,-,-,Floral,Linen,Formal,Flowy Dress
IMG_061,Inverted Triangle,39,31,46,1.48,Cool,Jeans,Red,-,-,Solid,Silk,Casual,A-Line Skirt
IMG_062,Hourglass,39,29,44,1.52,Neutral,T-Shirt,Brown,Sleeveless,V-Neck,Striped,Rayon,Casual,Fitted Dress
IMG_063,Hourglass,37,28,41,1.46,Warm,Jacket,Olive,Half,Sweetheart,Checked,Denim,Traditional,Wrap Dress
IMG_064,Rectangle,46,39,36,0.92,Neutral,T-Shirt,White,Half,Square,Polka Dot,Silk,College,Layered Outfit
IMG_065,Pear,35,35,45,1.29,Neutral,Jeans,White,-,-,Polka Dot,Polyester,Casual,A-Line Dress
IMG_066,Rectangle,39,34,40,1.18,Neutral,Trousers,White,-,-,Solid,Rayon,College,Pleated Skirt
IMG_067,Inverted Triangle,35,32,39,1.22,Warm,Skirt,Beige,-,-,Striped,Wool,Traditional,V-Neck Top
IMG_068,Apple,43,38,48,1.26,Cool,Jacket,Brown,3/4,Sweetheart,Polka Dot,Polyester,Party,Straight-Leg Trousers
IMG_069,Hourglass,47,29,47,1.62,Cool,Dress,Red,3/4,Square,Printed,Wool,College,High-Waist Trousers
IMG_070,Rectangle,34,33,47,1.42,Cool,Dress,Navy Blue,Half,Sweetheart,Checked,Linen,Party,Belted Dress
IMG_071,Pear,42,26,42,1.62,Warm,Skirt,White,-,-,Floral,Polyester,Formal,Dark Bottom
IMG_072,Inverted Triangle,44,37,41,1.11,Warm,Shirt,Brown,Half,V-Neck,Floral,Wool,Formal,V-Neck Top
IMG_073,Inverted Triangle,44,35,39,1.11,Neutral,Trousers,Green,-,-,Floral,Wool,Traditional,V-Neck Top
IMG_074,Rectangle,39,37,41,1.11,Cool,Dress,Red,Sleeveless,High Neck,Striped,Linen,Casual,Layered Outfit
IMG_075,Inverted Triangle,37,29,45,1.55,Neutral,Sweater,Red,Full,Square,Checked,Cotton,Formal,V-Neck Top
IMG_076,Rectangle,37,31,36,1.16,Neutral,Kurti,Black,Short,Collar,Solid,Cotton,Traditional,Belted Dress
IMG_077,Inverted Triangle,45,28,44,1.57,Warm,Sweater,White,Half,Boat,Floral,Silk,Party,Wide-Leg Trousers
IMG_078,Inverted Triangle,34,30,47,1.57,Warm,Skirt,White,-,-,Floral,Cotton,Traditional,A-Line Skirt
IMG_079,Apple,36,28,46,1.64,Warm,Dress,Red,Sleeveless,Square,Floral,Polyester,Traditional,Empire-Waist Dress
IMG_080,Inverted Triangle,46,34,40,1.18,Cool,Jeans,Grey,-,-,Printed,Silk,Party,A-Line Skirt
IMG_081,Pear,43,37,35,0.95,Warm,Jeans,Yellow,-,-,Polka Dot,Cotton,Formal,Structured Top
IMG_082,Pear,36,34,35,1.03,Cool,Jacket,Black,Full,Boat,Checked,Cotton,Formal,Boat-Neck Top
IMG_083,Inverted Triangle,45,30,45,1.5,Neutral,Dress,White,Half,Sweetheart,Polka Dot,Polyester,Formal,Flowy Dress
IMG_084,Pear,35,34,37,1.09,Cool,Blouse,Grey,Sleeveless,Round,Striped,Rayon,Party,Boat-Neck Top
IMG_085,Rectangle,41,27,41,1.52,Cool,Jeans,Beige,-,-,Printed,Polyester,College,Pleated Skirt
IMG_086,Inverted Triangle,35,35,34,0.97,Cool,Sweater,Beige,Half,Round,Solid,Denim,Traditional,A-Line Skirt
IMG_087,Rectangle,46,36,47,1.31,Warm,Blouse,Olive,3/4,Square,Polka Dot,Silk,Party,Layered Outfit
IMG_088,Inverted Triangle,43,32,44,1.38,Cool,Trousers,White,-,-,Floral,Linen,Party,A-Line Skirt
IMG_089,Inverted Triangle,47,28,39,1.39,Cool,Jeans,Beige,-,-,Polka Dot,Silk,Traditional,A-Line Skirt
IMG_090,Rectangle,41,27,39,1.44,Warm,Skirt,Maroon,-,-,Printed,Rayon,Casual,Pleated Skirt
IMG_091,Apple,40,26,37,1.42,Neutral,Jacket,Maroon,3/4,Sweetheart,Solid,Denim,Party,Empire-Waist Dress
IMG_092,Inverted Triangle,48,30,41,1.37,Warm,Sweater,White,Short,High Neck,Striped,Linen,Traditional,A-Line Skirt
IMG_093,Pear,42,32,35,1.09,Warm,Jacket,Lavender,Sleeveless,High Neck,Striped,Silk,Party,Boat-Neck Top
IMG_094,Inverted Triangle,40,39,41,1.05,Cool,Kurti,Sky Blue,Short,Boat,Striped,Polyester,Traditional,Wide-Leg Trousers
IMG_095,Inverted Triangle,47,27,38,1.41,Neutral,Jeans,Maroon,-,-,Solid,Linen,Party,Flowy Dress
IMG_096,Apple,47,28,41,1.46,Cool,Trousers,Peach,-,-,Printed,Rayon,Traditional,Longline Jacket
IMG_097,Pear,41,40,39,0.97,Warm,Sweater,Beige,3/4,V-Neck,Floral,Cotton,Party,Dark Bottom
IMG_098,Inverted Triangle,45,40,46,1.15,Neutral,Blouse,Pink,3/4,Round,Striped,Polyester,Traditional,V-Neck Top
IMG_099,Inverted Triangle,47,27,47,1.74,Neutral,Jacket,White,Sleeveless,High Neck,Striped,Silk,Formal,A-Line Skirt
IMG_100,Rectangle,41,38,38,1.0,Neutral,Skirt,Olive,-,-,Polka Dot,Cotton,Party,Pleated Skirt
IMG_101,Inverted Triangle,39,36,45,1.25,Neutral,T-Shirt,Lavender,Full,Round,Striped,Wool,Party,Wide-Leg Trousers
IMG_102,Hourglass,45,27,40,1.48,Neutral,Shirt,Brown,3/4,V-Neck,Polka Dot,Linen,Casual,Wrap Dress
IMG_103,Rectangle,39,38,34,0.89,Cool,Skirt,Maroon,-,-,Striped,Denim,Traditional,Pleated Skirt
IMG_104,Pear,43,36,46,1.28,Warm,Shirt,Navy Blue,Full,Sweetheart,Floral,Polyester,Formal,Dark Bottom
IMG_105,Pear,48,35,36,1.03,Neutral,Jeans,Peach,-,-,Floral,Linen,Casual,Dark Bottom
IMG_106,Apple,48,30,44,1.47,Warm,Jacket,Navy Blue,Half,Square,Checked,Wool,College,Straight-Leg Trousers
IMG_107,Pear,41,39,38,0.97,Cool,Shirt,Pink,Short,Boat,Printed,Linen,Traditional,Boat-Neck Top
IMG_108,Inverted Triangle,45,30,34,1.13,Warm,Sweater,Red,Sleeveless,Square,Polka Dot,Silk,Party,Wide-Leg Trousers
IMG_109,Pear,43,38,39,1.03,Warm,Sweater,Yellow,Half,High Neck,Polka Dot,Rayon,Formal,A-Line Dress
IMG_110,Hourglass,48,36,44,1.22,Cool,T-Shirt,Red,Full,Collar,Polka Dot,Denim,Casual,High-Waist Trousers
IMG_111,Pear,39,37,40,1.08,Warm,Kurti,Sky Blue,Half,Square,Printed,Linen,Formal,Boat-Neck Top
IMG_112,Rectangle,48,39,41,1.05,Cool,Shirt,Beige,3/4,Round,Striped,Rayon,Formal,Pleated Skirt
IMG_113,Rectangle,47,38,42,1.11,Cool,T-Shirt,White,Half,Square,Solid,Silk,Party,Belted Dress
IMG_114,Rectangle,43,32,47,1.47,Neutral,Dress,White,3/4,Round,Printed,Polyester,Party,Layered Outfit
IMG_115,Inverted Triangle,44,27,44,1.63,Neutral,Jeans,Grey,-,-,Polka Dot,Silk,Casual,Wide-Leg Trousers
IMG_116,Inverted Triangle,34,26,38,1.46,Warm,Dress,White,Full,V-Neck,Floral,Silk,Party,Flowy Dress
IMG_117,Pear,43,37,45,1.22,Cool,Shirt,Grey,3/4,Square,Floral,Linen,Casual,Boat-Neck Top
IMG_118,Pear,37,33,41,1.24,Cool,Shirt,Lavender,Half,Square,Polka Dot,Linen,Casual,Dark Bottom
IMG_119,Inverted Triangle,38,29,35,1.21,Neutral,Dress,White,Full,Round,Solid,Rayon,Party,Wide-Leg Trousers
IMG_120,Pear,36,38,43,1.13,Neutral,Dress,White,Full,V-Neck,Striped,Linen,Formal,A-Line Dress
IMG_121,Pear,38,39,36,0.92,Cool,Blouse,Green,Sleeveless,High Neck,Solid,Denim,Casual,Boat-Neck Top
IMG_122,Apple,46,38,37,0.97,Warm,Blouse,Maroon,Half,Round,Striped,Wool,College,V-Neck Outfit
IMG_123,Inverted Triangle,45,27,41,1.52,Cool,Kurti,Brown,Full,Round,Floral,Polyester,Formal,A-Line Skirt
IMG_124,Apple,45,38,48,1.26,Cool,T-Shirt,Red,Sleeveless,Boat,Floral,Silk,Casual,Longline Jacket
IMG_125,Hourglass,45,40,41,1.02,Warm,Trousers,Grey,-,-,Printed,Denim,Casual,Fitted Dress
IMG_126,Apple,38,35,44,1.26,Neutral,Trousers,Green,-,-,Floral,Polyester,Traditional,Straight-Leg Trousers
IMG_127,Inverted Triangle,41,34,43,1.26,Neutral,Shirt,White,Full,High Neck,Striped,Silk,College,Wide-Leg Trousers
IMG_128,Inverted Triangle,40,31,47,1.52,Cool,Shirt,Pink,Half,Boat,Checked,Wool,Party,V-Neck Top
IMG_129,Inverted Triangle,36,36,48,1.33,Warm,Shirt,White,Sleeveless,Boat,Solid,Wool,Party,Wide-Leg Trousers
IMG_130,Apple,42,26,43,1.65,Cool,Shirt,Green,3/4,Collar,Polka Dot,Rayon,College,V-Neck Outfit
IMG_131,Rectangle,38,35,38,1.09,Neutral,Kurti,White,Short,V-Neck,Polka Dot,Silk,Formal,Peplum Top
IMG_132,Rectangle,39,39,42,1.08,Cool,Sweater,White,Short,Sweetheart,Floral,Rayon,Traditional,Peplum Top
IMG_133,Rectangle,43,40,44,1.1,Warm,Jeans,Black,-,-,Polka Dot,Rayon,Party,Belted Dress
IMG_134,Pear,39,26,36,1.38,Neutral,Skirt,Olive,-,-,Solid,Denim,Casual,A-Line Dress
IMG_135,Inverted Triangle,45,34,37,1.09,Cool,Trousers,Pink,-,-,Striped,Linen,Party,V-Neck Top
IMG_136,Hourglass,46,35,43,1.23,Warm,Blouse,Grey,Short,Sweetheart,Printed,Cotton,Casual,High-Waist Trousers
IMG_137,Inverted Triangle,41,36,40,1.11,Cool,Skirt,Olive,-,-,Checked,Denim,Traditional,A-Line Skirt
IMG_138,Rectangle,39,32,35,1.09,Neutral,Sweater,Yellow,3/4,Square,Polka Dot,Linen,Casual,Layered Outfit
IMG_139,Hourglass,40,35,34,0.97,Cool,Dress,Sky Blue,Short,Sweetheart,Checked,Linen,Party,Wrap Dress
IMG_140,Inverted Triangle,34,33,45,1.36,Warm,Skirt,Navy Blue,-,-,Printed,Wool,Formal,V-Neck Top
IMG_141,Hourglass,35,32,47,1.47,Warm,Jacket,Pink,Sleeveless,Sweetheart,Checked,Polyester,College,Belted Outfit
IMG_142,Rectangle,45,36,40,1.11,Cool,T-Shirt,White,Half,V-Neck,Printed,Silk,Party,Peplum Top
IMG_143,Pear,40,39,35,0.9,Neutral,Skirt,Pink,-,-,Printed,Cotton,College,Boat-Neck Top
IMG_144,Rectangle,45,31,37,1.19,Warm,Shirt,Brown,Full,High Neck,Solid,Polyester,Traditional,Layered Outfit
IMG_145,Rectangle,48,38,39,1.03,Neutral,Blouse,Beige,Short,Round,Striped,Linen,Formal,Layered Outfit
IMG_146,Hourglass,43,28,46,1.64,Neutral,Jacket,Navy Blue,3/4,Sweetheart,Printed,Rayon,Traditional,Belted Outfit
IMG_147,Apple,44,40,48,1.2,Neutral,Sweater,Yellow,Half,Sweetheart,Polka Dot,Linen,Formal,Longline Jacket
IMG_148,Rectangle,35,33,41,1.24,Cool,Sweater,Brown,Sleeveless,Collar,Printed,Cotton,Party,Pleated Skirt
IMG_149,Rectangle,41,26,34,1.31,Cool,Shirt,Lavender,Sleeveless,Square,Printed,Polyester,College,Pleated Skirt
IMG_150,Hourglass,43,34,46,1.35,Neutral,Dress,Peach,Half,Square,Floral,Polyester,Formal,Wrap Dress
IMG_151,Rectangle,41,27,46,1.7,Warm,Kurti,Beige,Short,Round,Striped,Wool,College,Pleated Skirt
IMG_152,Pear,42,34,43,1.26,Cool,Jeans,Maroon,-,-,Floral,Silk,Party,A-Line Dress
IMG_153,Rectangle,46,36,44,1.22,Cool,Shirt,White,Full,High Neck,Floral,Linen,Party,Layered Outfit
IMG_154,Pear,39,27,43,1.59,Cool,Jeans,Grey,-,-,Polka Dot,Wool,College,Structured Top
IMG_155,Rectangle,43,37,35,0.95,Cool,Trousers,Green,-,-,Striped,Wool,Traditional,Peplum Top
IMG_156,Apple,44,36,40,1.11,Warm,Trousers,Maroon,-,-,Checked,Denim,Formal,Straight-Leg Trousers
IMG_157,Pear,46,33,37,1.12,Warm,Shirt,Navy Blue,Half,Sweetheart,Solid,Polyester,Traditional,A-Line Dress
IMG_158,Apple,44,31,48,1.55,Neutral,Skirt,Navy Blue,-,-,Striped,Denim,Formal,Empire-Waist Dress
IMG_159,Inverted Triangle,45,33,34,1.03,Neutral,Dress,Maroon,3/4,Square,Checked,Rayon,College,Wide-Leg Trousers
IMG_160,Inverted Triangle,42,29,38,1.31,Warm,Trousers,Grey,-,-,Polka Dot,Polyester,College,Flowy Dress
IMG_161,Inverted Triangle,46,30,46,1.53,Neutral,Skirt,Green,-,-,Striped,Rayon,Formal,Wide-Leg Trousers
IMG_162,Inverted Triangle,47,30,34,1.13,Cool,Kurti,Lavender,Sleeveless,High Neck,Printed,Rayon,Casual,V-Neck Top
IMG_163,Rectangle,35,38,36,0.95,Neutral,Blouse,Peach,3/4,Round,Striped,Rayon,College,Belted Dress
IMG_164,Hourglass,48,26,40,1.54,Neutral,Trousers,Pink,-,-,Striped,Silk,Casual,High-Waist Trousers
IMG_165,Hourglass,37,26,39,1.5,Neutral,Trousers,Lavender,-,-,Striped,Denim,Casual,High-Waist Trousers
IMG_166,Pear,48,39,41,1.05,Neutral,Jacket,Brown,3/4,Square,Solid,Cotton,Casual,Boat-Neck Top
IMG_167,Apple,37,39,36,0.92,Neutral,Kurti,Beige,3/4,Round,Checked,Denim,Party,V-Neck Outfit
IMG_168,Apple,34,29,40,1.38,Warm,Shirt,Peach,3/4,Square,Printed,Cotton,Traditional,Empire-Waist Dress
IMG_169,Inverted Triangle,45,28,38,1.36,Neutral,Trousers,Black,-,-,Striped,Polyester,College,Wide-Leg Trousers
IMG_170,Apple,44,36,35,0.97,Warm,Kurti,Maroon,Full,Square,Printed,Polyester,Casual,Longline Jacket
IMG_171,Inverted Triangle,47,33,34,1.03,Cool,T-Shirt,Maroon,Half,Sweetheart,Solid,Linen,Formal,A-Line Skirt
IMG_172,Rectangle,46,35,45,1.29,Warm,Trousers,Navy Blue,-,-,Printed,Linen,Formal,Pleated Skirt
IMG_173,Pear,45,33,44,1.33,Warm,Shirt,Brown,3/4,Round,Checked,Denim,Casual,Structured Top
IMG_174,Rectangle,48,26,39,1.5,Cool,Kurti,Green,3/4,Collar,Solid,Rayon,Formal,Belted Dress
IMG_175,Hourglass,39,39,46,1.18,Neutral,Trousers,Lavender,-,-,Checked,Cotton,Party,Belted Outfit
IMG_176,Inverted Triangle,48,32,45,1.41,Cool,Trousers,Grey,-,-,Striped,Silk,College,V-Neck Top
IMG_177,Rectangle,48,38,42,1.11,Warm,Skirt,Brown,-,-,Solid,Silk,Traditional,Layered Outfit
IMG_178,Hourglass,42,30,39,1.3,Cool,Jeans,White,-,-,Checked,Silk,Traditional,Belted Outfit
IMG_179,Rectangle,36,37,41,1.11,Warm,Trousers,Peach,-,-,Printed,Silk,Party,Peplum Top
IMG_180,Inverted Triangle,35,36,44,1.22,Neutral,Blouse,Maroon,Sleeveless,V-Neck,Printed,Wool,College,A-Line Skirt
IMG_181,Rectangle,36,27,37,1.37,Cool,Sweater,Maroon,Sleeveless,Square,Striped,Wool,College,Belted Dress
IMG_182,Hourglass,39,33,46,1.39,Warm,Kurti,Olive,Half,Boat,Checked,Wool,Party,Fitted Dress
IMG_183,Pear,35,26,45,1.73,Neutral,Skirt,Peach,-,-,Printed,Cotton,Party,Boat-Neck Top
IMG_184,Apple,45,33,37,1.12,Neutral,Jacket,Red,Short,Round,Striped,Rayon,Casual,Longline Jacket
IMG_185,Inverted Triangle,36,40,45,1.12,Neutral,Trousers,White,-,-,Polka Dot,Linen,Casual,V-Neck Top
IMG_186,Pear,48,30,47,1.57,Neutral,Blouse,Beige,Half,Square,Striped,Cotton,Formal,Structured Top
IMG_187,Hourglass,37,38,41,1.08,Neutral,Sweater,Maroon,Half,Boat,Printed,Denim,Traditional,Wrap Dress
IMG_188,Inverted Triangle,35,30,40,1.33,Cool,Skirt,Green,-,-,Printed,Cotton,Formal,V-Neck Top
IMG_189,Inverted Triangle,44,27,41,1.52,Neutral,Trousers,Yellow,-,-,Striped,Rayon,Traditional,Wide-Leg Trousers
IMG_190,Apple,46,28,40,1.43,Warm,Shirt,Grey,Full,V-Neck,Checked,Denim,Formal,Straight-Leg Trousers
IMG_191,Rectangle,48,37,37,1.0,Cool,Shirt,Green,Half,V-Neck,Polka Dot,Polyester,Party,Layered Outfit
IMG_192,Apple,44,30,43,1.43,Neutral,Blouse,White,Full,Square,Striped,Denim,Traditional,Straight-Leg Trousers
IMG_193,Hourglass,47,40,43,1.07,Warm,Shirt,Lavender,Sleeveless,High Neck,Printed,Linen,Formal,Belted Outfit
IMG_194,Inverted Triangle,43,36,34,0.94,Neutral,Kurti,Grey,Half,High Neck,Checked,Silk,Formal,Flowy Dress
IMG_195,Hourglass,38,33,35,1.06,Cool,Skirt,Navy Blue,-,-,Floral,Silk,Formal,High-Waist Trousers
IMG_196,Rectangle,43,28,39,1.39,Cool,Skirt,Beige,-,-,Striped,Rayon,Party,Peplum Top
IMG_197,Hourglass,39,29,41,1.41,Cool,Dress,Red,Short,Round,Solid,Linen,College,Belted Outfit
IMG_198,Pear,37,39,48,1.23,Cool,Sweater,Lavender,Half,V-Neck,Striped,Silk,Traditional,Dark Bottom
IMG_199,Inverted Triangle,41,40,38,0.95,Warm,Skirt,Black,-,-,Printed,Silk,Formal,Wide-Leg Trousers
IMG_200,Hourglass,43,31,34,1.1,Cool,Sweater,Red,3/4,Collar,Printed,Cotton,Casual,Belted Outfit
IMG_201,Rectangle,36,40,38,0.95,Cool,Trousers,Brown,-,-,Solid,Silk,Casual,Layered Outfit
IMG_202,Hourglass,39,34,38,1.12,Neutral,Jacket,Pink,Full,Collar,Printed,Wool,Traditional,Wrap Dress
IMG_203,Rectangle,36,27,40,1.48,Cool,Kurti,Brown,Half,Sweetheart,Striped,Denim,Traditional,Pleated Skirt
IMG_204,Hourglass,42,26,34,1.31,Neutral,Trousers,Navy Blue,-,-,Floral,Polyester,College,Fitted Dress
IMG_205,Pear,43,40,42,1.05,Neutral,Trousers,Maroon,-,-,Striped,Silk,Traditional,Boat-Neck Top
IMG_206,Apple,43,31,42,1.35,Cool,Sweater,Green,Half,Boat,Solid,Linen,Party,V-Neck Outfit
IMG_207,Hourglass,40,35,38,1.09,Cool,Jeans,Olive,-,-,Polka Dot,Rayon,Traditional,Fitted Dress
IMG_208,Inverted Triangle,45,26,43,1.65,Neutral,Sweater,Navy Blue,3/4,V-Neck,Polka Dot,Denim,Casual,A-Line Skirt
IMG_209,Rectangle,37,26,41,1.58,Warm,Skirt,Pink,-,-,Polka Dot,Denim,College,Pleated Skirt
IMG_210,Hourglass,47,39,45,1.15,Warm,Kurti,Beige,Short,Square,Checked,Wool,College,Belted Outfit
IMG_211,Apple,39,28,41,1.46,Neutral,Trousers,Maroon,-,-,Polka Dot,Rayon,Party,Longline Jacket
IMG_212,Apple,37,29,38,1.31,Warm,Jeans,Red,-,-,Checked,Wool,Formal,Longline Jacket
IMG_213,Apple,39,33,39,1.18,Neutral,Jeans,Grey,-,-,Checked,Cotton,Traditional,Longline Jacket
IMG_214,Rectangle,48,32,47,1.47,Warm,Jeans,Brown,-,-,Solid,Linen,Casual,Belted Dress
IMG_215,Rectangle,48,33,44,1.33,Cool,Dress,Beige,Short,Sweetheart,Printed,Linen,Traditional,Belted Dress
IMG_216,Apple,36,27,43,1.59,Warm,T-Shirt,Sky Blue,Full,V-Neck,Polka Dot,Denim,Casual,V-Neck Outfit
